iter	Passed	Remaining
0	57	57064
1	58	29337
2	60	20106
3	62	15470
4	63	12706
5	65	10866
6	67	9547
7	69	8594
8	71	7827
9	72	7212
10	74	6703
11	76	6276
12	77	5917
13	79	5615
14	81	5366
15	84	5173
16	85	4953
17	87	4766
18	88	4592
19	90	4440
20	92	4306
21	94	4180
22	95	4070
23	97	3972
24	99	3885
25	101	3815
26	103	3731
27	105	3652
28	106	3578
29	108	3512
30	110	3449
31	112	3391
32	113	3337
33	116	3300
34	118	3265
35	120	3231
36	122	3193
37	125	3183
38	127	3145
39	129	3106
40	131	3066
41	132	3031
42	134	3001
43	136	2969
44	138	2943
45	140	2916
46	142	2887
47	144	2874
48	147	2858
49	149	2841
50	151	2822
51	153	2802
52	156	2802
53	158	2781
54	161	2771
55	163	2754
56	165	2737
57	167	2718
58	169	2696
59	170	2674
60	172	2655
61	174	2641
62	176	2622
63	178	2604
64	179	2585
65	181	2570
66	183	2557
67	184	2531
68	186	2519
69	188	2508
70	190	2494
71	192	2484
72	194	2475
73	196	2461
74	198	2449
75	200	2436
76	202	2423
77	204	2411
78	205	2400
79	207	2391
80	209	2379
81	211	2367
82	213	2357
83	215	2349
84	216	2333
85	218	2323
86	219	2306
87	221	2296
88	223	2288
89	225	2279
90	227	2268
91	228	2260
92	231	2254
93	233	2249
94	235	2244
95	238	2241
96	240	2234
97	241	2224
98	243	2215
99	245	2208
100	247	2200
101	248	2185
102	250	2179
103	251	2171
104	253	2164
105	255	2156
106	257	2149
107	259	2142
108	261	2135
109	263	2128
110	264	2120
111	266	2115
112	268	2110
113	270	2102
114	272	2097
115	274	2089
116	276	2083
117	277	2077
118	279	2069
119	281	2066
120	284	2066
121	286	2060
122	287	2047
123	288	2041
124	290	2035
125	292	2030
126	294	2025
127	295	2015
128	297	2011
129	299	2006
130	301	2002
131	303	1997
132	305	1991
133	307	1987
134	309	1982
135	311	1977
136	313	1971
137	314	1963
138	316	1958
139	318	1955
140	320	1952
141	322	1948
142	324	1946
143	326	1940
144	328	1936
145	330	1930
146	331	1926
147	333	1922
148	336	1919
149	338	1916
150	340	1912
151	341	1907
152	343	1903
